date,company,open,close
2014-03-19,Meta,69.169998,68.239998
2014-03-19,Tesla,16.092667,15.722667
2014-03-20,Apple,18.924643,18.882143
2014-03-20,Google,600.575562,599.179199
2014-03-20,Meta,68.010002,66.970001
2014-03-20,Tesla,15.744,15.660667
2014-03-21,Apple,18.997499,19.031071
2014-03-21,Google,603.758789,592.112122
2014-03-21,Meta,67.529999,67.239998
2014-03-21,Tesla,15.734667,15.259333
2014-03-24,Apple,19.229286,19.256786
2014-03-24,Google,592.687683,579.544556
2014-03-24,Meta,67.190002,64.099998
2014-03-24,Tesla,15.316667,14.678
2014-03-25,Apple,19.339287,19.463928
2014-03-25,Google,583.583557,579.939941
2014-03-25,Meta,64.889999,64.889999
2014-03-25,Tesla,14.942667,14.696
2014-03-26,Apple,19.518572,19.277857
2014-03-26,Google,581.586609,566.551575
2014-03-26,Meta,64.739998,60.389999
2014-03-26,Tesla,14.796667,14.197333
2014-03-27,Apple,19.286428,19.195
2014-03-27,Google,565.990967,557.697693
2014-03-27,Meta,60.509998,60.970001
2014-03-27,Tesla,14.158,13.821333
2014-03-28,Apple,19.225714,19.173571
2014-03-28,Google,560.060059,560.63562
2014-03-28,Meta,61.34,60.009998
2014-03-28,Tesla,14.186667,14.158
2014-03-31,Apple,19.258215,19.169287
2014-03-31,Google,565.765747,557.812805
2014-03-31,Meta,60.779999,60.240002
2014-03-31,Tesla,14.433333,13.896667
2014-04-01,Apple,19.205713,19.344643
2014-04-01,Google,560.695679,568.013
2014-04-01,Meta,60.459999,62.619999
2014-04-01,Tesla,13.934667,14.464667
2014-04-02,Apple,19.370714,19.376785
2014-04-02,Google,571.521545,568.118103
2014-04-02,Meta,63.209999,62.720001
2014-04-02,Tesla,14.666667,15.352667
2014-04-03,Apple,19.335358,19.2425
2014-04-03,Google,573.390015,571.5
2014-04-03,Meta,62.549999,59.490002
2014-04-03,Tesla,15.353333,15.026667
2014-04-04,Apple,19.278929,18.99357
2014-04-04,Google,578.549988,545.25
2014-04-04,Meta,59.939999,56.75
2014-04-04,Tesla,15.067333,14.148667
2014-04-07,Apple,18.857857,18.695356
2014-04-07,Google,544.789978,540.630005
2014-04-07,Meta,55.900002,56.950001
2014-04-07,Tesla,13.720667,13.834667
2014-04-08,Apple,18.756786,18.694286
2014-04-08,Google,545.049988,557.51001
2014-04-08,Meta,57.68,58.189999
2014-04-08,Tesla,14.003333,14.364
2014-04-09,Apple,18.665714,18.940001
2014-04-09,Google,565.840027,567.039978
2014-04-09,Meta,59.630001,62.41
2014-04-09,Tesla,14.450667,14.462
2014-04-10,Apple,18.952856,18.695715
2014-04-10,Google,568.0,546.690002
2014-04-10,Meta,63.080002,59.16
2014-04-10,Tesla,14.454667,13.612667
2014-04-11,Apple,18.535713,18.557501
2014-04-11,Google,537.940002,537.76001
2014-04-11,Meta,57.599998,58.529999
2014-04-11,Tesla,13.374,13.585333
2014-04-14,Apple,18.639286,18.63143
2014-04-14,Google,543.659973,545.200012
2014-04-14,Meta,60.09,58.889999
2014-04-14,Tesla,13.84,13.206
2014-04-15,Apple,18.581072,18.498571
2014-04-15,Google,551.0,548.700012
2014-04-15,Meta,59.290001,59.09
2014-04-15,Tesla,13.272667,12.927333
2014-04-16,Apple,18.501785,18.536072
2014-04-16,Google,557.700012,563.900024
2014-04-16,Meta,59.790001,59.720001
2014-04-16,Tesla,13.133333,13.274
2014-04-17,Apple,18.571428,18.747856
2014-04-17,Google,556.320007,543.340027
2014-04-17,Meta,59.299999,58.939999
2014-04-17,Tesla,13.307333,13.208
2014-04-21,Apple,18.762142,18.970358
2014-04-21,Google,544.0,539.369995
2014-04-21,Meta,59.459999,61.240002
2014-04-21,Tesla,13.138667,13.625333
2014-04-22,Apple,18.868214,18.989286
2014-04-22,Google,536.0,545.5
2014-04-22,Meta,62.650002,63.029999
2014-04-22,Tesla,13.757333,14.576
2014-04-23,Apple,18.895,18.741072
2014-04-23,Google,543.669983,537.51001
2014-04-23,Meta,63.450001,61.360001
2014-04-23,Tesla,14.422,13.866
2014-04-24,Apple,20.293215,20.2775
2014-04-24,Google,541.690002,534.440002
2014-04-24,Meta,63.599998,60.869999
2014-04-24,Tesla,14.054,13.857333
2014-04-25,Apple,20.161785,20.42643
2014-04-25,Google,532.26001,523.099976
2014-04-25,Meta,59.970001,57.709999
2014-04-25,Tesla,13.466667,13.323333
2014-04-28,Apple,20.457144,21.217501
2014-04-28,Google,525.799988,522.97998
2014-04-28,Meta,58.049999,56.139999
2014-04-28,Tesla,13.333333,13.234
2014-04-29,Apple,21.205,21.154642
2014-04-29,Google,523.890015,536.330017
2014-04-29,Meta,56.09,58.150002
2014-04-29,Tesla,13.214,13.794667
2014-04-30,Apple,21.165714,21.074642
2014-04-30,Google,535.119995,534.880005
2014-04-30,Meta,57.580002,59.779999
2014-04-30,Tesla,13.573333,13.859333
2014-05-01,Apple,21.142857,21.124287
2014-05-01,Google,534.25,538.530029
2014-05-01,Meta,60.43,61.150002
2014-05-01,Tesla,13.805333,13.848667
2014-05-02,Apple,21.155001,21.16357
2014-05-02,Google,541.440002,533.869995
2014-05-02,Meta,61.299999,60.459999
2014-05-02,Tesla,13.906667,14.060667
2014-05-05,Apple,21.076429,21.462856
2014-05-05,Google,530.23999,535.330017
2014-05-05,Meta,59.669998,61.220001
2014-05-05,Tesla,13.965333,14.440667
2014-05-06,Apple,21.492857,21.22893
2014-05-06,Google,533.409973,522.570007
2014-05-06,Meta,60.98,58.529999
2014-05-06,Tesla,14.44,13.818667
2014-05-07,Apple,21.258928,21.154642
2014-05-07,Google,523.25,518.0
2014-05-07,Meta,58.77,57.389999
2014-05-07,Tesla,13.976,13.423333
2014-05-08,Apple,21.008928,20.999643
2014-05-08,Google,515.719971,520.169983
2014-05-08,Meta,57.23,56.759998
2014-05-08,Tesla,12.133333,11.906
